"","rank","player","age","team","fpv","mvppts","ptsmax","share","games","mpg","ppg","rbpg","astpg","stlpg","blkpg","fgp","threepp","ftp","winshares","winsharesp48","player_id","season","poss","tmp","rap_o","rap_d","rap_tot","war_tot","war_reg","war_play","pred_o","pred_d","pred_tot","pace_impact","nposts","avg_upvotes","avg_comments","comp","pos","neu","neg"
"1","1","Nikola Jokic","26","DEN","65.0","875.0","1000","0.875","74","33.5","27.1","13.8","7.9","1.5","0.9",".583",".337",".810","15.2",".296","jokicni01",2021,5787,2833,8.59796770192476,0.651521234227334,9.24948893615209,17.5339165206694,15.7560312359587,1.77788528471075,8.68570045173231,1.0185306920442,9.70423114377651,0.791221853692214,25,680.12,153.8,0.34,"0.13",0.87,0
"2","2","Joel Embiid","27","PHI","26.0","706.0","1000","0.706","68","33.8","30.6","11.7","4.2","1.1","1.5",".499",".371",".814","12.0",".252","embiijo01",2021,4084,1942,3.77289776663758,4.58604769728844,8.35894546392602,11.1872094206485,8.85833881504746,2.32887060560109,3.2601381698763,4.33675967328985,7.59689784316615,0.999580854647675,25,1226,187,-0.039,"0.187",0.654,0.16
"3","3","Giannis Antetokounmpo","27","MIL","9.0","595.0","1000","0.595","67","32.9","29.9","11.6","5.8","1.1","1.4",".553",".293",".722","12.9",".281","antetgi01",2021,6002,2813,4.24637430332853,2.34187392072381,6.58824822405234,13.6667962151266,9.71868942592508,3.94810678920153,4.1398312659395,2.41525696856883,6.55508823450834,1.09606099525632,25,3626,491,0.361,"0.06",0.94,0
"4","4","Devin Booker","25","PHO","0.0","216.0","1000","0.216","68","34.5","26.8","5.0","4.8","1.1","0.4",".466",".383",".868","7.6",".156","bookede01",2021,6444,3159,3.2334774341647,-0.48856225796061,2.74491517620409,9.05105393164549,5.25585868637496,3.79519524527054,3.53330562722282,-0.427983454158485,3.10532217306433,0.608637696113977,25,209,116,0,"0",1,0
"5","5","Luka Doncic","22","DAL","0.0","146.0","1000","0.146","65","35.4","28.4","9.1","8.7","1.2","0.6",".457",".353",".744","7.6",".159","doncilu01",2021,5235,2543,6.64165405276573,-0.789069940314123,5.85258411245161,11.4026449506247,9.29776593129739,2.10487901932728,7.43545995944086,-1.20229205689852,6.23316790254233,1.22450940082698,24,2845,1730,0.128,"0.081",0.919,0
"6","6","Jayson Tatum","23","BOS","0.0","43.0","1000","0.043","76","35.9","26.9","8.0","4.4","1.0","0.6",".453",".353",".853","9.6",".169","tatumja01",2021,5130,2475,4.16568344766585,-1.3869759630394,2.77870748462645,6.9700278445918,6.4970178984852,0.473009946106595,4.58964991693165,-1.05001973579756,3.53963018113409,-0.34795303075011,25,280,211,0.34,"0.324",0.676,0
"7","7","Ja Morant","22","MEM","0.0","10.0","1000","0.010","57","33.1","27.4","5.7","6.7","1.2","0.4",".493",".344",".761","6.7",".171","moranja01",2021,4791,2256,1.99793266046172,-3.92400884746042,-1.9260761869987,0.941886221743611,1.24229133104834,-0.300405109304732,2.2272494148858,-3.51694260020737,-1.28969318532158,0.711416165812153,25,12695,803,0.587,"0.156",0.844,0
"8","8","Stephen Curry","33","GSW","0.0","4.0","1000","0.004","64","34.5","25.5","5.2","6.3","1.3","0.4",".437",".380",".923","8.0",".173","curryst01",2021,4715,2152,8.7387010240524,-1.93904989884528,6.79965112520712,10.7605746394512,10.7605746394512,0,8.08715188772832,-1.65642215134479,6.43072973638353,2.653506878324,25,414,503,0,"0",1,0
"9","9","Chris Paul","36","PHO","0.0","2.0","1000","0.002","65","32.9","14.7","4.4","10.8","1.9","0.3",".493",".317",".837","9.4",".210","paulch01",2021,5905,2882,4.48202463788765,-1.33818250743958,3.14384213044807,8.69194001236151,6.60754247884867,2.08439753351284,4.0704921558141,-0.790011972679185,3.28048018313491,-0.426290196863784,25,1247,254,0.296,"0.059",0.941,0
"10","10T","DeMar DeRozan","32","CHI","0.0","1.0","1000","0.001","76","36.1","27.9","5.2","4.9","0.9","0.3",".504",".352",".877","8.8",".154","derozde01",2021,4287,2056,3.56390518008884,-2.93468051531915,0.629224664769699,3.52872405059672,3.52872405059672,0,1.7296045359974,-2.79764165853866,-1.06803712254126,-0.455364938021342,25,1418,290,-0.128,"0.157",0.654,0.19
"11","10T","Kevin Durant","33","BRK","0.0","1.0","1000","0.001","55","37.2","29.9","7.4","6.4","0.9","0.9",".518",".383",".910","8.4",".198","duranke01",2021,3464,1642,4.64852402662455,0.347516791132626,4.99604081775717,6.62751736087957,5.00701332586709,1.62050403501248,5.10958289875999,-0.366680665026195,4.74290223373379,1.7170645654849,25,2218,369,0.226,"0.137",0.769,0.094
"12","10T","LeBron James","37","LAL","0.0","1.0","1000","0.001","56","37.2","30.3","8.2","6.2","1.3","1.1",".524",".359",".756","7.5",".172","jamesle01",2021,3586,1728,5.87870769875962,0.638155440880721,6.51686313964034,8.28516819964366,6.42391162507098,1.86125657457268,5.0382679207615,0.602557841807885,5.64082576256938,0.192680682671013,25,2491,1154,0,"0",1,0
